曜日,時間,メルマガ内容,通数,種別,PR,形式,対象年齢,対象現住所,求人の職種,備考,新規,設定者,確認者,配信停止
金,19,TP部_リモートOK×女性管理職在籍の求人特集,1.3,隔週B,,抽出,対象年齢,対象現住所,求人の職種,,,部,石,TRUE
金,18,高収入_未経験OK,3,隔週B,,抽出,,,,,,武,部,TRUE
金,10,全員面接,1.3,隔週B,,抽出,,,,,,部,石,TRUE
土,20,海外旅行し放題メルマガ,2.2,隔週B,,抽出,,,,,,部,石,TRUE
土,17,関西_アドバイザー・カウンセラー_未経験,0.7,隔週B,,抽出,,,,,,部,石,TRUE
土,18,宅地建物取引士資格あり,0.1,隔週B,,抽出,,,,,,部,石,TRUE
日,10,40代正社員×新着求人特集,0.7,隔週B,,抽出,,,,,,部,石,TRUE
日,17,時短×月給30万円以上_関西,0.2,隔週B,,抽出,,,,,,部,石,TRUE
日,19,上場_エンジニア経験,0.2,隔週B,PR166掲出中(終了日未定),抽出,,,,,,部,石,TRUE
日,8,人気検索KW_事務系希望_関西,0.8,隔週B,,抽出,,,,,,部,石,TRUE
日,17,販サ経験者_ハイブランド,1.4,隔週B,,抽出,,,,,,石,部,TRUE
月,19,埼玉_路線_B,0.7,隔週B,,抽出,,,,,,部,内,TRUE
月,18,四国で働く,0.1,隔週B,,抽出,,,,,,部,武,TRUE
月,19,神奈川_路線_B,0.9,隔週B,,抽出,,,,,,部,内,TRUE
月,19,千葉_路線_B,0.6,隔週B,,抽出,,,,,,部,内,TRUE
月,18,大阪で働く,1.2,隔週B,,抽出,,,,,,部,武,TRUE
月,19,東京_路線_事務_B,1,隔週B,,抽出,,,,,,部,内,TRUE
月,18,東北で働く,0.4,隔週B,,抽出,,,,,,部,武,TRUE
月,18,北陸で働く,0.2,隔週B,,抽出,,,,,,部,武,TRUE
火,17,◇応募ランキング A,0.7,毎週配信,,抽出,,,,,,荒,平,FALSE
火,12,★新着総合_首都圏 A,5,毎週配信,PR202掲出中(4/27迄),抽出,,,,,,荒,平,FALSE
火,12,★新着総合_西日本 A,2.9,毎週配信,,抽出,,,,,,荒,平,FALSE
火,12,★新着総合_東海 A,1,毎週配信,,抽出,,,,,,荒,平,FALSE
火,12,★新着総合_北海道・東北 A,0.8,毎週配信,,抽出,,,,,,荒,平,FALSE
火,12,★新着総合_北関東・甲信越・北陸 A,0.7,毎週配信,,抽出,,,,,,荒,平,FALSE
火,18,☆エンジニア_経験_首都圏版,0.1,毎週配信,PR166掲出中(終了日未定),抽出,,,,,,部,内,FALSE
火,18,☆エンジニア_未経験_首都圏版,0.4,毎週配信,PR165掲出中(終了日未定),抽出,,,,,,部,内,FALSE
火,16,35歳以上向け A,1,毎週配信,,抽出,,,,,,R,,FALSE
火,19,35歳以上向け_関西 A,0.3,毎週配信,,抽出,,,,,,R,,FALSE
火,19,40代ラスト転職,0.9,毎週配信,,抽出,,,,,,R,,FALSE
火,19,TP部_営業_現住所,2,毎週配信,,抽出,,,,,,R,,FALSE
火,21,WEB面接・コロナ対策,9.3,毎週配信,,抽出,,,,,,R,,FALSE
火,19,フルリモート_全国_エンジニア,1.3,毎週配信,PR167掲出中(終了日未定),抽出,,,,,,R,,FALSE
火,19,フルリモート_全国_営業,1.8,毎週配信,,抽出,,,,,,R,,FALSE
火,19,フルリモート_全国_事務,5.5,毎週配信,,抽出,,,,,,R,,FALSE
火,9,ランキング_クリエイティブ（Web）_希望,0.5,毎週配信,,抽出,,,,,,R,,FALSE
火,9,ランキング_営業（マーケ）_希望,0.5,毎週配信,,抽出,,,,,,R,,FALSE
火,9,ランキング_事務（一般事務）_希望,1.5,毎週配信,,抽出,,,,,,R,,FALSE
火,21,ランキング_事務（貿易事務）_希望,0.4,毎週配信,,抽出,,,,,,R,,FALSE
火,16,育児両立_フレックス,0.6,毎週配信,,抽出,対象年齢,対象現住所,求人の職種,,,R,,FALSE
火,8,応募から1日_好条件営業ランキング,0.1,毎週配信,,抽出,,,,,,R,,FALSE
火,21,応募から1日_好条件事務ランキング,0.1,毎週配信,,抽出,,,,,,R,,FALSE
火,21,応募から3日会員,0.1,毎週配信,,フリー,,,,,,R,,FALSE
火,8,快適な在宅ワーク,4.3,毎週配信,,抽出,,,,,,石,部,FALSE
火,8,関西_自己PR不要_リモート未経験_事務,0.2,毎週配信,,抽出,,,,,,R,,FALSE
火,15,好条件×業務委託,0.4,毎週配信,,抽出,,,,,,部,武,FALSE
火,15,好条件×契約社員,1.2,毎週配信,,抽出,,,,,,R,,FALSE
火,10,事務_販サ経験者向け_東京,0.4,毎週配信,,抽出,,,,,,R,,FALSE
火,11,事務（経理）_希望,0.5,毎週配信,PR165掲出中(終了日未定),抽出,,,,,,R,,FALSE
火,8,推し活_残業なし_休日120日以上_月給30万以上,1.2,毎週配信,,抽出,,,,,,R,,FALSE
火,17,仙台_リモートOK_未経験,0.2,毎週配信,,抽出,,,,,,R,,FALSE
火,17,大阪_リモートOK_未経験,0.7,毎週配信,,抽出,,,,,,R,,FALSE
火,17,単独求人訴求メルマガ_B,2.9,毎週配信,,フリー,,,,,,武,部,FALSE
火,20,当日新規会員,0.1,毎週配信,,抽出,,,,,,荒,内,FALSE
火,17,福岡_リモートOK_未経験,0.4,毎週配信,,抽出,,,,,,R,,FALSE
火,14,福祉事務,1.2,毎週配信,,抽出,,,,,,R,,FALSE
火,14,福祉事務_35歳以上,1,毎週配信,,抽出,,,,,,R,,FALSE
火,19,未経験_研修・資格_事務系_関西,0.3,毎週配信,,抽出,,,,,,R,,FALSE
火,19,未経験_研修・資格_事務系_首都圏,1.3,毎週配信,,抽出,,,,,,R,,FALSE
火,14,未経験向け急募求人_クリエイティブ,0.5,毎週配信,,抽出,,,,,,R,,FALSE
火,14,未経験向け急募求人_営業,0.5,毎週配信,,抽出,,,,,,R,,FALSE
火,14,未経験向け急募求人_事務,1,毎週配信,,抽出,,,,,,R,,FALSE
火,10,面接1回,1.5,毎週配信,,抽出,,,,,,R,,FALSE
火,10,面接1回_35歳以上,1,毎週配信,,抽出,,,,,,R,,FALSE
水,21,◇ウキにしか掲載していない求人,6.9,毎週配信,,フリー,,,,,,部,武,FALSE
水,13,◇掲載終了前+UP A,2.5,毎週配信,,抽出,,,,,,平,内,FALSE
水,13,◇掲載終了前+UP_35歳以上 A,1,毎週配信,,抽出,,,,,,平,内,FALSE
水,13,◇掲載終了前+UP_関西 A,1,毎週配信,,抽出,,,,,,平,内,FALSE
水,8,★求人特集(35歳未満) A,7,毎週配信,,抽出,,,,,,平,荒,FALSE
水,18,☆営業_経験_首都圏版,0.1,毎週配信,,抽出,,,,,,部,荒,FALSE
水,18,☆営業_未経験_首都圏版,0.3,毎週配信,,抽出,,,,,,部,荒,FALSE
水,17,☆推進課,3,毎週配信,,抽出,,,,,,荒,平,FALSE
水,17,☆推進課_35歳以上,1,毎週配信,,抽出,,,,,,荒,平,FALSE
水,17,☆推進課_関西,1,毎週配信,,抽出,,,,,,荒,平,FALSE
水,10,40代未経験_正社員,2.3,毎週配信,,抽出,,,,,,R,,FALSE
水,8,50代事務,0.4,毎週配信,,抽出,,,,,,部,石,FALSE
水,20,これから人気,1,毎週配信,,抽出,,,,,,R,,FALSE
水,19,フルリモート×正社員,3,毎週配信,,抽出,,,,,,R,,FALSE
水,20,ユニークな福利厚生制度_B,1.2,毎週配信,,抽出,対象年齢,対象現住所,求人の職種,,,R,,FALSE
水,9,ランキング_エンジニア（IT系）_希望,0.3,毎週配信,PR167掲出中(終了日未定),抽出,,,,,,R,,FALSE
水,9,ランキング_クリエイティブ（その他）_希望,0.4,毎週配信,,抽出,,,,,,R,,FALSE
水,9,ランキング_営業（その他）_希望,0.4,毎週配信,,抽出,,,,,,R,,FALSE
水,9,ランキング_事務（営業事務）_希望,1,毎週配信,,抽出,,,,,,R,,FALSE
水,15,営業（コールセンター）_希望,0.2,毎週配信,,抽出,,,,,,R,,FALSE
水,18,駅直結_事務,1.7,毎週配信,,抽出,,,,,,R,,FALSE
水,8,応募から1日_好条件営業ランキング,0.1,毎週配信,,抽出,,,,,,R,,FALSE
水,21,応募から1日_好条件事務ランキング,0.1,毎週配信,,抽出,,,,,,R,,FALSE
水,21,応募から3日会員,0.1,毎週配信,,フリー,,,,,,R,,FALSE
水,13,関西単独求人メルマガ_A,0.4,毎週配信,,フリー,,,,,,武,部,FALSE
水,12,休日120日_就業中_関西,0.7,毎週配信,,抽出,,,,,,R,,FALSE
水,12,休日120日_未就業,0.7,毎週配信,,抽出,,,,,,R,,FALSE
水,17,掲載終了間近_人気求人ランキング,3.1,毎週配信,,抽出,,,,,,武,部,FALSE
水,9,裁量労働制,1.1,毎週配信,,抽出,,,,,,R,,FALSE
水,10,子育て支援,0.6,毎週配信,,抽出,,,,,,R,,FALSE
水,15,事務（金融関連）_希望,0.3,毎週配信,,抽出,,,,,,R,,FALSE
水,11,事務（総務・人事）_希望,1.1,毎週配信,,抽出,,,,,,R,,FALSE
水,9,時短×リモート,0.6,毎週配信,,抽出,,,,,,R,,FALSE
水,12,自己PR不要_リモート未経験_エンジニア,0.2,毎週配信,PR165掲出中(終了日未定),抽出,,,,,,R,,FALSE
水,12,自己PR不要_リモート未経験_営業,0.3,毎週配信,,抽出,,,,,,R,,FALSE
水,12,自己PR不要_リモート未経験_事務,2.5,毎週配信,,抽出,,,,,,R,,FALSE
水,12,自己PR不要_残業無_未経験_販サ,0.3,毎週配信,,抽出,,,,,,R,,FALSE
水,10,趣味・興味メルマガ_A,1,毎週配信,,抽出,,,,,,R,,FALSE
水,19,渋谷・恵比寿勤務_事務,1.2,毎週配信,,抽出,,,,,,R,,FALSE
水,20,大手上場_35歳以上 A,1,毎週配信,,抽出,,,,,,R,,FALSE
水,20,大手上場_関西 A,1,毎週配信,,抽出,,,,,,R,,FALSE
水,20,大手上場_第二新卒 A,0.7,毎週配信,,抽出,,,,,,R,,FALSE
水,15,転職回数不問,1.8,毎週配信,,抽出,,,,,,R,,FALSE
水,20,当日新規会員,0.1,毎週配信,,抽出,,,,,,荒,内,FALSE
水,21,年収UP_営業,0.6,毎週配信,,抽出,,,,,,R,,FALSE
水,16,年収UP_関西,1,毎週配信,,抽出,,,,,,R,,FALSE
水,21,年収UP_事務,1.5,毎週配信,,抽出,,,,,,R,,FALSE
水,21,年収UP_販サ,0.6,毎週配信,,抽出,,,,,,R,,FALSE
水,16,副業OK×リモート_ランキング,2.8,毎週配信,,抽出,,,,,,R,,FALSE
水,19,未経験_研修・資格_エンジニア系_首都圏,0.3,毎週配信,PR165掲出中(終了日未定),抽出,,,,,,R,,FALSE
水,19,六本木勤務,2,毎週配信,,抽出,,,,,,R,,FALSE
木,13,☆TP部_事務_現住所,2.4,毎週配信,,抽出,,,,,,部,石,FALSE
木,18,☆販サ_経験_35歳以上_首都圏版,0.1,毎週配信,,抽出,,,,,,部,平,FALSE
木,18,☆販サ_経験_35歳以上_全国版,0.2,毎週配信,,抽出,対象年齢,対象現住所,求人の職種,,,部,平,FALSE
木,18,☆販サ_経験_首都圏版,0.2,毎週配信,,抽出,,,,,,部,平,FALSE
木,18,☆販サ_経験_全国版,0.3,毎週配信,,抽出,,,,,,部,平,FALSE
木,18,☆販サ_未経験_35歳以上_首都圏版,0.2,毎週配信,,抽出,,,,,,部,平,FALSE
木,18,☆販サ_未経験_首都圏版,0.3,毎週配信,,抽出,,,,,,部,平,FALSE
木,18,40代事務ランキング,0.4,毎週配信,,抽出,,,,,,石,部,FALSE
木,16,エンジニア限定_単独求人メルマガ,0.5,毎週配信,,フリー,,,,,,武,部,FALSE
木,11,クリエイティブ（Web）_希望,0.4,毎週配信,,抽出,,,,,,R,,FALSE
木,11,コロナ禍_事務_首都圏,2.5,毎週配信,,抽出,,,,,,R,,FALSE
木,10,フルリモートランキング,0.5,毎週配信,,抽出,,,,,,R,,FALSE
木,9,ランキング_営業（BtoB）_希望,0.3,毎週配信,,抽出,,,,,,R,,FALSE
木,9,ランキング_事務（秘書）_希望,0.9,毎週配信,,抽出,,,,,,R,,FALSE
木,14,リモートワーク A_35歳以上,1.1,毎週配信,,抽出,,,,,,R,,FALSE
木,15,営業（マーケ）_希望,0.4,毎週配信,,抽出,,,,,,R,,FALSE
木,8,応募から1日_好条件営業ランキング,0.1,毎週配信,,抽出,,,,,,R,,FALSE
木,21,応募から1日_好条件事務ランキング,0.1,毎週配信,,抽出,,,,,,R,,FALSE
木,21,応募から3日会員,0.1,毎週配信,,フリー,,,,,,R,,FALSE
木,12,応募ランキング B,3.5,毎週配信,,抽出,,,,,,R,,FALSE
木,12,応募ランキングB_全国,3.4,毎週配信,,抽出,,,,,,R,,FALSE
木,21,学歴不問×大手上場企業,1.3,毎週配信,,抽出,,,,,,R,,FALSE
木,14,関西‗リモート×フレックス,1.2,毎週配信,,抽出,,,,,,部,武,FALSE
木,9,関西限定求人特集,1.1,毎週配信,,抽出,,,,,,R,,FALSE
木,12,丸の内・大手町・有楽町_残業少_事務 ,0.9,毎週配信,,抽出,,,,,,R,,FALSE
木,10,経験活かせる_営業,0.6,毎週配信,,抽出,,,,,,R,,FALSE
木,10,経験活かせる_事務,1.4,毎週配信,,抽出,,,,,,R,,FALSE
木,12,資格活かせる_簿記,0.3,毎週配信,,抽出,,,,,,R,,FALSE
木,15,事務（その他）_希望,0.4,毎週配信,,抽出,,,,,,R,,FALSE
木,20,事務職 A,1.3,毎週配信,,抽出,,,,,,R,,FALSE
木,20,事務職_35歳以上 A_ランキング,1,毎週配信,,抽出,,,,,,R,,FALSE
木,20,事務職_関西 A,1,毎週配信,,抽出,,,,,,R,,FALSE
木,20,首都圏_フルリモート_求人特集,3.9,毎週配信,,フリー,,,,,,R,,FALSE
木,12,新規会員向け_自己PR不要_求人特集,0.2,毎週配信,,フリー,,,,,,R,,FALSE
木,8,新着_クリエイティブ,0.4,毎週配信,,抽出,,,,,,R,,FALSE
木,8,新着_企画営業,0.9,毎週配信,,抽出,,,,,,R,,FALSE
木,8,新着_経理,0.5,毎週配信,,抽出,,,,,,R,,FALSE
木,8,新着_事務,2.5,毎週配信,,抽出,,,,,,R,,FALSE
木,8,新着_人事,0.6,毎週配信,,抽出,,,,,,R,,FALSE
木,21,新働きやすさ_A,2,毎週配信,,抽出,,,,,,R,,FALSE
木,21,新働きやすさ_A_関西,0.8,毎週配信,,抽出,,,,,,R,,FALSE
木,17,単独求人訴求メルマガ_C,2.3,毎週配信,,フリー,対象年齢,対象現住所,求人の職種,,,石,武,FALSE
木,17,東海_リモート,0.6,毎週配信,,抽出,,,,,,R,,FALSE
木,20,当日新規会員,0.1,毎週配信,,抽出,,,,,,荒,内,FALSE
木,16,年休130日以上_残業10時間以下,2.1,毎週配信,,抽出,,,,,,R,,FALSE
木,8,年収500万以上_未経験歓迎,0.6,毎週配信,,抽出,,,,,,R,,FALSE
木,21,髪色・服装自由_事務,1.8,毎週配信,,抽出,,,,,,R,,FALSE
木,10,副業OK,4.4,毎週配信,,抽出,,,,,,R,,FALSE
木,20,未経験_研修・資格_クリエイティブ系_埼玉神奈川千葉,0.3,毎週配信,,抽出,,,,,,R,,FALSE
木,20,未経験_研修・資格_クリエイティブ系_東京,0.3,毎週配信,,抽出,,,,,,R,,FALSE
木,19,未経験エンジニア希望向け_首都圏,0.4,毎週配信,PR165掲出中(終了日未定),抽出,,,,,,R,,FALSE
金,12,★新着総合_首都圏 B,5,毎週配信,PR202掲出中(4/27迄),抽出,,,,,,荒,平,FALSE
金,12,★新着総合_西日本 B,2.9,毎週配信,,抽出,,,,,,荒,平,FALSE
金,12,★新着総合_東海 B,1,毎週配信,,抽出,,,,,,荒,平,FALSE
金,12,★新着総合_北海道・東北 B,0.8,毎週配信,,抽出,,,,,,荒,平,FALSE
金,12,★新着総合_北関東・甲信越・北陸 B,0.7,毎週配信,,抽出,,,,,,荒,平,FALSE
金,17,☆Womantype[全],5,毎週配信,,フリー,,,,,,内,平,FALSE
金,9,40~60代活躍中,1.5,毎週配信,,抽出,,,,,,石,武,FALSE
金,21,ウルトラ好条件,6.7,毎週配信,,抽出,,,,,,R,,FALSE
金,11,クリエイティブ（その他）_希望,0.3,毎週配信,,抽出,,,,,,R,,FALSE
金,8,データ入力×リモートOK,1.8,毎週配信,,抽出,,,,,,R,,FALSE
金,14,フルリモート_全国,3.7,毎週配信,,抽出,,,,,,R,,FALSE
金,8,フルリモート×好条件,5.7,毎週配信,,抽出,,,,,,部,石,FALSE
金,9,ランキング_事務（経理）_希望,0.4,毎週配信,,抽出,,,,,,R,,FALSE
金,15,リモート手当あり,4.7,毎週配信,,抽出,,,,,,R,,FALSE
金,15,営業（その他）_希望,0.3,毎週配信,,抽出,,,,,,R,,FALSE
金,8,応募から1日_好条件営業ランキング,0.1,毎週配信,,抽出,,,,,,R,,FALSE
金,21,応募から1日_好条件事務ランキング,0.1,毎週配信,,抽出,,,,,,R,,FALSE
金,21,応募から3日会員,0.1,毎週配信,,フリー,,,,,,R,,FALSE
金,21,希望業種_人材サービス,0.5,毎週配信,,抽出,,,,,,R,,FALSE
金,8,既婚者,0.4,毎週配信,,抽出,,,,,,R,,FALSE
金,19,経験_アパレル・コスメ,0.2,毎週配信,,抽出,,,,,,R,,FALSE
金,19,経験_一般事務,0.7,毎週配信,,抽出,,,,,,R,,FALSE
金,19,経験_営業,0.6,毎週配信,,抽出,,,,,,R,,FALSE
金,11,今週の人気求人ランキング,5.7,毎週配信,,抽出,,,,,,R,,FALSE
金,20,残業したくない,2.1,毎週配信,,抽出,,,,,,R,,FALSE
金,20,残業したくない_関西,0.7,毎週配信,,抽出,,,,,,R,,FALSE
金,10,子育手当,0.6,毎週配信,,抽出,,,,,,R,,FALSE
金,15,事務（医療事務）_希望,0.5,毎週配信,,抽出,,,,,,R,,FALSE
金,11,事務（広報）_希望,0.5,毎週配信,,抽出,,,,,,R,,FALSE
金,20,住宅手当あり_首都圏,1.8,毎週配信,,抽出,対象年齢,対象現住所,求人の職種,,,R,,FALSE
金,20,住宅手当あり_首都圏_35歳以上,1.4,毎週配信,,抽出,,,,,,R,,FALSE
金,20,当日新規会員,0.1,毎週配信,,抽出,,,,,,荒,内,FALSE
金,8,梅田で働く,0.8,毎週配信,,抽出,,,,,,R,,FALSE
金,8,未婚者,0.4,毎週配信,,抽出,,,,,,R,,FALSE
土,8,★求人特集(35歳未満） B,7,毎週配信,,抽出,,,,,,平,荒,FALSE
土,14,☆横浜,4,毎週配信,,抽出,,,,,,平,荒,FALSE
土,16,☆救済メルマガ(UP10),4,毎週配信,,抽出,,,,,,平,荒,FALSE
土,20,35歳以上向け B,1.1,毎週配信,,抽出,,,,,,R,,FALSE
土,20,35歳以上向け_関西 B,0.3,毎週配信,,抽出,,,,,,R,,FALSE
土,20,35歳未満_PV多い求人,1,毎週配信,,抽出,,,,,,R,,FALSE
土,9,NPS取得アンケート,0.3,毎週配信,,フリー,,,,,,R,,FALSE
土,19,フルリモート×未経験歓迎,6.7,毎週配信,,抽出,,,,,,R,,FALSE
土,13,ランキング_営業（キャリアカウンセラー）_希望,0.3,毎週配信,,抽出,,,,,,R,,FALSE
土,13,ランキング_事務（総務・人事）_希望,0.9,毎週配信,,抽出,,,,,,R,,FALSE
土,8,応募から1日_好条件営業ランキング,0.1,毎週配信,,抽出,,,,,,R,,FALSE
土,21,応募から1日_好条件事務ランキング,0.1,毎週配信,,抽出,,,,,,R,,FALSE
土,21,応募から3日会員,0.1,毎週配信,,フリー,,,,,,R,,FALSE
土,17,横浜駅で働く,1.2,毎週配信,,抽出,,,,,,R,,FALSE
土,18,関西限定事務求人特集,0.6,毎週配信,,抽出,,,,,,R,,FALSE
土,21,月給30万以上_ランキング,1.7,毎週配信,,抽出,,,,,,R,,FALSE
土,21,検討中ランキング_クリエイティブ,0.3,毎週配信,,抽出,,,,,,R,,FALSE
土,10,検討中ランキング_事務,0.9,毎週配信,,抽出,,,,,,R,,FALSE
土,21,検討中ランキング_販サ,0.4,毎週配信,,抽出,,,,,,R,,FALSE
土,17,札幌駅で働く,0.2,毎週配信,,抽出,,,,,,R,,FALSE
土,21,事務（一般事務）_希望,1.3,毎週配信,,抽出,,,,,,R,,FALSE
土,15,事務（貿易事務）_希望,0.4,毎週配信,,抽出,,,,,,R,,FALSE
土,12,趣味・興味メルマガ_B,1,毎週配信,,抽出,,,,,,R,,FALSE
土,18,賞与3ヶ月以上×リモート_ランキング,2.5,毎週配信,,抽出,,,,,,R,,FALSE
土,17,新大阪駅・本町駅で働く,0.9,毎週配信,,抽出,,,,,,R,,FALSE
土,17,仙台駅で働く,0.2,毎週配信,,抽出,,,,,,R,,FALSE
土,17,大宮浦和で働く,0.8,毎週配信,,抽出,,,,,,R,,FALSE
土,9,単独求人訴求メルマガ_A,2.1,毎週配信,,フリー,,,,,,武,部,FALSE
土,20,当日新規会員,0.1,毎週配信,,抽出,,,,,,荒,内,FALSE
土,17,博多区で働く,0.4,毎週配信,,抽出,,,,,,R,,FALSE
土,15,販サ（フロント）_希望,0.3,毎週配信,,抽出,,,,,,R,,FALSE
日,12,★ウキポリ[全],10,毎週配信,,抽出,,,,,,平,荒,FALSE
日,17,☆IT派遣［全］,2.6,毎週配信,,フリー,,,,,,内,平,FALSE
日,19,☆TP部メルマガ,1.3,毎週配信,,抽出,,,,,,荒,平,FALSE
日,19,☆TP部メルマガ_未就業,0.5,毎週配信,,抽出,対象年齢,対象現住所,求人の職種,,,荒,平,FALSE
日,8,40代再就職,0.9,毎週配信,,抽出,,,,,,R,,FALSE
日,8,40代再就職_関西,0.4,毎週配信,,抽出,,,,,,R,,FALSE
日,9,これから人気×エンジニア,0.2,毎週配信,,抽出,,,,,,R,,FALSE
日,9,これから人気×リモート,0.6,毎週配信,,抽出,,,,,,R,,FALSE
日,9,これから人気×リモート×営業,0.3,毎週配信,,抽出,,,,,,R,,FALSE
日,9,これから人気×販サ,0.2,毎週配信,,抽出,,,,,,R,,FALSE
日,18,プライベート重視_35歳以上,0.9,毎週配信,,抽出,,,,,,R,,FALSE
日,13,フルリモート_35歳以上,2.1,毎週配信,,抽出,,,,,,R,,FALSE
日,19,ランキング_販サ（フロント）_希望,0.3,毎週配信,,抽出,,,,,,R,,FALSE
日,21,リモート_ランキング,2.5,毎週配信,,抽出,,,,,,R,,FALSE
日,20,異業種提案_事務,2.1,毎週配信,,抽出,,,,,,R,,FALSE
日,8,応募から1日_好条件営業ランキング,0.1,毎週配信,,抽出,,,,,,R,,FALSE
日,21,応募から1日_好条件事務ランキング,0.1,毎週配信,,抽出,,,,,,R,,FALSE
日,21,応募から3日会員,0.1,毎週配信,,フリー,,,,,,R,,FALSE
日,9,応募ランキング C,4.5,毎週配信,,抽出,,,,,,R,,FALSE
日,11,関西単独求人メルマガ_B,0.7,毎週配信,,フリー,,,,,,武,部,FALSE
日,18,月曜日はリモート×フレックスで働く,2.3,毎週配信,,抽出,,,,,,R,,FALSE
日,10,語学を活かせる,0.4,毎週配信,,抽出,,,,,,R,,FALSE
日,17,事務・営業職経験者向け,0.7,毎週配信,,抽出,,,,,,R,,FALSE
日,11,事務（営業事務）_希望,1,毎週配信,,抽出,,,,,,R,,FALSE
日,19,上場_営業経験,0.7,毎週配信,,抽出,,,,,,R,,FALSE
日,19,上場_事務経験,1.9,毎週配信,,抽出,,,,,,R,,FALSE
日,19,上場_販サ経験,1.4,毎週配信,,抽出,,,,,,R,,FALSE
日,8,人気検索KW_事務系希望,0.6,毎週配信,,抽出,,,,,,R,,FALSE
日,20,正社員_関西,1.6,毎週配信,,抽出,,,,,,R,,FALSE
日,20,当日新規会員,0.1,毎週配信,,抽出,,,,,,荒,内,FALSE
日,21,名駅・栄駅で働く,0.6,毎週配信,,抽出,,,,,,R,,FALSE
月,8,◇掲載終了前+UP_35歳以上 B,1,毎週配信,,抽出,,,,,,内,荒,FALSE
月,8,◇掲載終了前+UP_関西 B,1,毎週配信,,抽出,,,,,,内,荒,FALSE
月,12,★納品対策,7,毎週配信,PR202掲出中(4/27迄),抽出,,,,,,平,荒,FALSE
月,10,☆TP部_事務_希望地,3.6,毎週配信,,抽出,,,,,,部,石,FALSE
月,14,☆関西,1.4,毎週配信,,抽出,,,,,,平,荒,FALSE
