【うき】　 メルマガPR 管理表,,,,,,,,
▼ルール▼,,,,,,,,
・PRを挿入するメルマガには、スケジュールの枠に「PR＊（PR IDを入れ下さい）（期限まで/のみ）」を入力する　※PRを削除する週は「PR＊（PR IDを入れ下さい）削除」を入力する,,,,,,,,
・PRが終了したら、グレーにする,,,,,　,,,
・新着メルマガPRも管理表に入れる,,,,,,,,
※リストに記載が無い場合、把握漏れの可能性があります。ご連絡下さい。（2018/1/23荒木）,,,,,,,,
PR ID,名称,PRが入るメルマガ,PR文面,開始予定日,終了予定日,終了,備考,
21,アパレル大特集,"（月11）納品対策
","┏━━━★期間限定特集★━━━━━┓

10年後、20年後も女性として輝き続けたい！
仕事を通して自分もキレイになれる
アパレル・コスメ業界の求人情報をお届け！

◆アパレル・コスメ業界大特集◆
https://woman.type.jp/s/fashion/sp20160927/?waad=Sc9pToTa&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━┛",2017/09/11,2017/10/02,終了,"「冒頭文」の下
「INDEX」の上
に入れる。",
22,イベント告知,"（火20）
・20代に人気
・20代に人気_第二新卒","★･･･━━━━━━━━━━━━━
9/15(金)開催 【無料イベント】
自身も23kgの減量に成功！元アスリートに学ぶ
女性のためのセルフプロデュース術＆身だしなみ講座
【お申し込みはこちら】https://goo.gl/7SGFkw
━━━━━━━━━━━━━･･･★",2017/09/12,2017/09/12,終了,,
23,営業大特集,"（火金12）新着総合
（日10）事務・営業職経験者向け
（月11）納品対策","┏━━━★期間限定特集★━━━━━┓

◆◆営業大特集◆◆

自分の頑張りが評価・収入につながりやすい営業職の求人情報をお届け！
今後のキャリアの選択肢を拡げてみませんか?
 >>https://woman.type.jp/s/salessp/?waad=waw0yO0y&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━┛",2017/10/03,2017/10/30,終了,"（火金12）新着総合→PR19と入替

（日10）事務・営業職経験者向け→「冒頭文」の下・「INDEX」の上に入れる。

（月11）納品対策→PR21と入替",
24,女性ITイベント,"（日16）事務・営業職経験者向け
（日16）サービス・販売職経験者向け","━ PR ━━━━━━━━━━━━━━
【ゼロから始めるWebデザイン講座】参加申し込み受付中
━━━━━━━━━━━━━━━━━
2017年11月21日（火）19：00～＠渋谷
★無料＆ケータリング付き

▼詳細はこちらから▼
https://woman.type.jp/wt/feature/8065?waad=lH0U1oar
━━━━━━━━━━━━━━━━━",2010/10/29,2017/11/09,終了,フッター最上部に差し込む,
25,女性活躍推進企業特集,"（火金12）新着総合
（水14）編集部オススメ
（月11）納品対策","┏━━━★期間限定特集★━━━━━┓

女の転職＠typeでは、経済産業省や厚生労働省が認定している企業の
求人情報などお届け！

結婚しても、出産してもキャリアを諦めたくない
そんな女性の「働く」を応援しています。

◆女性の活躍推進企業特集◆
https://woman.type.jp/s/jyosei-katsuyaku/sp20161202/?waad=u9XKkK3g

┗━━━━━━━━━━━━━━━┛",2017/11/06,2018/01/08,終了,"（火金12）新着総合→「PR企業」の下、「※今週の新着求人～こちら」の上に入れる。

（水14）編集部オススメ→プログラムの下に入れる。

（月11）納品対策→「冒頭文」の下、「INDEX」の上に入れる。",
26,TMPアンケート,"（土9）求人特集
（月20）20～35歳正社員求人","━ PR ━━━━━━━━━━━━━━
★★★女性向けアンケート★★★
「男性の印象がUPするのはどんな時？」
━━━━━━━━━━━━━━━━━
姉妹サイト「typeメンバーズパーク」では、
「職場の男性の印象がUPする時」についてアンケートを実施中！
女性目線のあなたの意見をお聞かせください！
https://s360.jp/form/30489-2497/?waad=lMhk2Uyq
━━━━━━━━━━━━━━━━━",2017/11/11,2017/11/13,終了,フッター最上部に差し込む,
27,IT女子イベント,"（日16）事務・営業職経験者向け
（日16）サービス・販売職経験者向け
（月20）20～35歳正社員求人","━ PR ━━━━━━━━━━━━━━
未経験でもプログラミング体験できる！
【ITスキルで広がる女性の働き方の未来】
━━━━━━━━━━━━━━━━━
2018年03月17日(土)　
一部13：00～／二部16：00～＠渋谷
★無料＆軽食付き

▼エントリーはこちらから▼
https://woman.type.jp/seminar/detail/30951/?waad=lH0U1oar
━━━━━━━━━━━━━━━━━",2018/02/05,2018/03/05,終了,フッター最上部に差し込む,
28,小規模フェア,"（火20）35歳以上向け A
（土20）35歳以上向け B","━ PR ━━━━━━━━━━━━━━
★無料／軽食つき★
【40・50代が主役になれる仕事に出会えるセミナー】
----------------------------------
2018年3月6日（火）13：30～ ＠赤坂

▼エントリーはこちらから▼
https://woman.type.jp/seminar/detail/31017/?waad=9HJAROmM
━━━━━━━━━━━━━━━━━",2018/02/06,2018/02/13,終了,フッター最上部に差し込む,
29,介護大特集,"（火金12）新着総合
（火14）福祉事務、福祉事務_35歳以上
（月11）納品対策","┏━━━★期間限定特集★━━━┓

介護・保育・医療・福祉業界の特集をお届け！

社会の変化に伴い、ニーズが拡大している今がチャンス！
ぜひチェックしてみて下さい。

◆介護・保育・医療・福祉業界に関わる仕事特集◆
https://woman.type.jp/s/kaigosp/?waad=fb5rf2VK&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━┛",2018/02/20,2018/03/19,終了,"（火金12）新着総合→「PR企業」の下、「※今週の新着求人～こちら」の上に入れる。

（火14）福祉事務、福祉事務_35歳以上→冒頭文の下に入れる。

（月11）納品対策→「冒頭文」の下、「INDEX」の上に入れる。",
30,アパレル大特集,"（木12）応募ランキング B
（金12）新着総合
（土12）検討中ランキング
（日09）応募ランキング C
（月11）納品対策","┏━━━★期間限定特集★━━━━┓

10年後、20年後も女性として輝き続けたい！
仕事を通して自分もキレイになれる
アパレル・コスメ業界の求人情報をお届け！

◆アパレル・コスメ業界大特集◆
https://woman.type.jp/s/fashion/sp20160927/?waad=Sc9pToTa&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━┛",2018/02/15,2018/02/19,終了,"（木12）応募ランキング B→冒頭文の下に。

（金12）新着総合→「PR企業」の下、「※今週の新着求人～こちら」の上に。

（土12）検討中ランキング→冒頭文の下に。

（日09）応募ランキング C→冒頭文の下に。


（月11）納品対策→「冒頭文」の下、「INDEX」の上に。",
